Value; Result
-0.260000;-0.017576
-0.250000;-0.015625
-0.240000;-0.013824
-0.230000;-0.012167
-0.220000;-0.010648
-0.210000;-0.009261
-0.200000;-0.008000
-0.190000;-0.006859
-0.180000;-0.005832
-0.170000;-0.004913
-0.160000;-0.004096
-0.150000;-0.003375
-0.140000;-0.002744
-0.130000;-0.002197
-0.120000;-0.001728
-0.110000;-0.001331
-0.100000;-0.001000
-0.090000;-0.000729
-0.080000;-0.000512
-0.070000;-0.000343
-0.060000;-0.000216
-0.050000;-0.000125
-0.040000;-0.000064
-0.030000;-0.000027
-0.020000;-0.000008
-0.010000;-0.000001
0.000000;0.000000
0.010000;0.000001
0.020000;0.000008
0.030000;0.000027
0.040000;0.000064
0.050000;0.000125
0.060000;0.000216
0.070000;0.000343
0.080000;0.000512
0.090000;0.000729
0.100000;0.001000
0.110000;0.001331
0.120000;0.001728
0.130000;0.002197
0.140000;0.002744
0.150000;0.003375
0.160000;0.004096
0.170000;0.004913
0.180000;0.005832
0.190000;0.006859
0.200000;0.008000
0.210000;0.009261
0.220000;0.010648
0.230000;0.012167
0.240000;0.013824
0.250000;0.015625
0.260000;0.017576
0.270000;0.019683
0.280000;0.021952
0.290000;0.024389
0.300000;0.027000
0.310000;0.029791
0.320000;0.032768
0.330000;0.035937
0.340000;0.039304
0.350000;0.042875
0.360000;0.046656
0.370000;0.050653
0.380000;0.054872
0.390000;0.059319
0.400000;0.064000
0.410000;0.068921
0.420000;0.074088
0.430000;0.079507
0.440000;0.085184
0.450000;0.091125
0.460000;0.097336
0.470000;0.103823
0.480000;0.110592
0.490000;0.117649
0.500000;0.125000
0.510000;0.132651
0.520000;0.140608
0.530000;0.148877
0.540000;0.157464
0.550000;0.166375
0.560000;0.175616
0.570000;0.185193
0.580000;0.195112
0.590000;0.205379
0.600000;0.216000
0.610000;0.226981
0.620000;0.238328
0.630000;0.250047
0.640000;0.262144
0.650000;0.274625
0.660000;0.287496
0.670000;0.300763
0.680000;0.314432
0.690000;0.328509
0.700000;0.343000
0.710000;0.357911
0.720000;0.373248
0.730000;0.389017
0.740000;0.405224
0.750000;0.421875
0.760000;0.438976
0.770000;0.456533
0.780000;0.474552
0.790000;0.493039
0.800000;0.512000
0.810000;0.531441
0.820000;0.551368
0.830000;0.571787
0.840000;0.592704
0.850000;0.614125
0.860000;0.636056
0.870000;0.658503
0.880000;0.681472
0.890000;0.704969
0.900000;0.729000
0.910000;0.753571
0.920000;0.778688
0.930000;0.804357
0.940000;0.830584
0.950000;0.857375
0.960000;0.884736
0.970000;0.912673
0.980000;0.941192
0.990000;0.970299
1.000000;1.000000
1.010000;1.030301
1.020000;1.061208
1.030000;1.092727
1.040000;1.124864
1.050000;1.157625
1.060000;1.191016
1.070000;1.225043
1.080000;1.259712
1.090000;1.295029
1.100000;1.331000
1.110000;1.367631
1.120000;1.404928
1.130000;1.442897
1.140000;1.481544
1.150000;1.520875
1.160000;1.560896
1.170000;1.601613
1.180000;1.643032
1.190000;1.685159
1.200000;1.728000
1.210000;1.771561
1.220000;1.815848
1.230000;1.860867
1.240000;1.906624
1.250000;1.953125
1.260000;2.000376
1.270000;2.048383
1.280000;2.097152
1.290000;2.146689
1.300000;2.197000
1.310000;2.248091
1.320000;2.299968
1.330000;2.352637
1.340000;2.406104
1.350000;2.460375
1.360000;2.515456
1.370000;2.571353
1.380000;2.628072
1.390000;2.685619
1.400000;2.744000
1.410000;2.803221
1.420000;2.863288
1.430000;2.924207
1.440000;2.985984
1.450000;3.048625
1.460000;3.112136
1.470000;3.176523
1.480000;3.241792
1.490000;3.307949
1.500000;3.375000
1.510000;3.442951
1.520000;3.511808
1.530000;3.581577
1.540000;3.652264
1.550000;3.723875
1.560000;3.796416
1.570000;3.869893
1.580000;3.944312
1.590000;4.019679
1.600000;4.096000
1.610000;4.173281
1.620000;4.251528
1.630000;4.330747
1.640000;4.410944
1.650000;4.492125
1.660000;4.574296
1.670000;4.657463
1.680000;4.741632
1.690000;4.826809
1.700000;4.913000
1.710000;5.000211
1.720000;5.088448
1.730000;5.177717
1.740000;5.268024
1.750000;5.359375
1.760000;5.451776
1.770000;5.545233
1.780000;5.639752
1.790000;5.735339
1.800000;5.832000
1.810000;5.929741
1.820000;6.028568
1.830000;6.128487
1.840000;6.229504
1.850000;6.331625
1.860000;6.434856
1.870000;6.539203
1.880000;6.644672
1.890000;6.751269
1.900000;6.859000
1.910000;6.967871
1.920000;7.077888
1.930000;7.189057
1.940000;7.301384
1.950000;7.414875
1.960000;7.529536
1.970000;7.645373
1.980000;7.762392
1.990000;7.880599
